Module Name,Vendor Name,Standard,Status
Samsung NVMe TCG Opal SSC SEDs PM9D3a Series,"Samsung Electronics Co., Ltd.",FIPS 140-3,Review Pending  (11/18/2025)
Samsung NVMe TCG Opal SSC SEDs PM9D3a Series,"Samsung Electronics Co., Ltd.",FIPS 140-3,Review Pending  (11/12/2025)
"AMD ASP Cryptographic CoProcessor (""Strix 1"" and ""Krackan 1"")",Advanced Micro Devices (AMD),FIPS 140-3,In Review  (1/23/2026)
"AMD ASP Cryptographic CoProcessor (""Strix Halo"")",Advanced Micro Devices (AMD),FIPS 140-3,In Review  (1/8/2026)
AWS Nitro Card Security Engine SSMAE,Amazon Web Services,FIPS 140-3,Review Pending  (12/9/2025)
AWS-LC 3.0 Cryptographic Module (dynamic),"Amazon Web Services, Inc",FIPS 140-3,Review Pending  (10/17/2025)
AWS-LC 3.0 Cryptographic Module (static),"Amazon Web Services, Inc",FIPS 140-3,Review Pending  (10/17/2025)
Amazon Linux 2023 OpenSSL FIPS Provider,"Amazon Web Services, Inc.",FIPS 140-3,Review Pending  (2/4/2026)
AWS Encryption Module,"Amazon Web Services, Inc.",FIPS 140-3,Review Pending  (10/27/2025)
"AWS Scalable Network Crypto Modules, version 1.1","Amazon Web Services, Inc.",FIPS 140-3,Review Pending  (11/17/2025)
"Apple corecrypto Module 18.3 [Apple silicon, Kernel, Software, SL1]",Apple Inc.,FIPS 140-3,Review Pending  (7/23/2025)
"Apple corecrypto Module 18.3 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",Apple Inc.,FIPS 140-3,Review Pending  (9/2/2025)
"Apple corecrypto Module 18.3 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",Apple Inc.,FIPS 140-3,Review Pending  (9/9/2025)
"Apple corecrypto Module 18.3 [Apple silicon, User, Software, SL1]",Apple Inc.,FIPS 140-3,In Review  (12/18/2025)
"Apple corecrypto Module v13.0 [Apple silicon, Secure Key Store, Hardware SL2/PHY3]",Apple Inc.,FIPS 140-3,In Review  (12/17/2025)
"Apple corecrypto Module v13.0 [Apple silicon, Secure Key Store, Hardware SL2]",Apple Inc.,FIPS 140-3,In Review  (12/17/2025)
"Apple corecrypto Module v14.0 [Apple silicon, Kernel, Software, SL1]",Apple Inc.,FIPS 140-3,Coordination  (11/19/2025)
"Apple corecrypto Module v14.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",Apple Inc.,FIPS 140-3,In Review  (2/3/2026)
"Apple corecrypto Module v14.0 [Apple silicon, Secure Key Store, Hardware, SL2]",Apple Inc.,FIPS 140-3,In Review  (2/3/2026)
"Apple corecrypto Module v14.0 [Apple silicon, User, Software, SL1]",Apple Inc.,FIPS 140-3,Coordination  (11/19/2025)
"Apple corecrypto Module v14.0 [Intel, Kernel, Software, SL1]",Apple Inc.,FIPS 140-3,Coordination  (12/17/2025)
"Apple corecrypto Module v14.0 [Intel, User, Software, SL1]",Apple Inc.,FIPS 140-3,Coordination  (12/17/2025)
"Apple corecrypto Module v18.3 [Intel, Kernel, Software, SL1]",Apple Inc.,FIPS 140-3,In Review  (12/31/2025)
"Apple corecrypto Module v18.3 [Intel, User, Software, SL1]",Apple Inc.,FIPS 140-3,In Review  (12/30/2025)
"Arista Crypto Module Lvl2 [Software, Software IPsec]","Arista Networks, Inc.",FIPS 140-3,Finalization  (1/29/2026)
Arista MACsec data plane accelerator [on-chip],"Arista Networks, Inc.",FIPS 140-3,Review Pending  (2/5/2026)
Arista MACsec data plane accelerator [PHY],"Arista Networks, Inc.",FIPS 140-3,Review Pending  (9/30/2025)
Arista WiFi Access Points,"Arista Networks, Inc.",FIPS 140-3,Review Pending  (9/12/2025)
AC8025 HSM,AutoChips Inc.,FIPS 140-3,Review Pending  (10/22/2025)
Aviat Networks Eclipse Cryptographic Module,"Aviat Networks, Inc.",FIPS 140-3,Review Pending  (11/13/2025)
Aviat Networks WTM 4100/4200/4500/4500XT Payload Encryption Module,"Aviat Networks, Inc.",FIPS 140-3,Coordination  (10/23/2025)
Barco ICMP-XS Cryptographic Module,Barco n.v.,FIPS 140-3,Coordination  (11/25/2025)
PTP 700 Point to Point Wireless Ethernet Bridge,"Cambium Networks, Ltd.",FIPS 140-3,Review Pending  (4/16/2025)
Canonical Ltd. Ubuntu 24.04 GnuTLS Cryptographic Module,Canonical Ltd.,FIPS 140-3,Coordination  (1/20/2026)
Canonical Ltd. Ubuntu 24.04 Kernel Crypto API Cryptographic Module,Canonical Ltd.,FIPS 140-3,Coordination  (1/14/2026)
Chainguard FIPS Provider for OpenSSL,"Chainguard, Inc.",FIPS 140-3,Review Pending  (10/31/2025)
HiPKI SafGuard 2000 HSM,Chunghwa Telecom laboratories,FIPS 140-3,Review Pending  (11/4/2025)
Ciena Waveserver Ai WCS-2,Ciena Corporation,FIPS 140-3,Review Pending  (11/20/2025)
SAOS 10.11.1,Ciena Corporation,FIPS 140-3,Review Pending  (8/26/2025)
WaveLogic 5 Extreme Encryption Modem,Ciena Corporation,FIPS 140-3,Review Pending  (11/20/2025)
